run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,2781,1353,10662,timeout,3372,214,2997,20
run2,876,438,9588,timeout,3418,166,886,46
run3,2990,688,796,timeout,1811,154,1294,70
run4,3091,190,2618,timeout,640,192,1334,110
run5,3554,1642,1664,timeout,2871,195,5215,32
run6,325,245,214,timeout,6091,211,335,148
run7,225,198,1963,timeout,4623,122,382,118
run8,3009,3312,323,timeout,2023,224,1236,167
run9,1998,1678,3809,timeout,3442,127,350,171
run10,2554,655,450,timeout,1692,196,365,108
